,wl,n,k
0,0.2,1.42088,0.0
1,0.25,1.40849,0.0
2,0.323,1.3984,0.0
3,0.349,1.3960700000000001,0.0
4,0.411,1.39,0.0
5,0.5,1.385,0.0
6,0.604,1.38,0.0
7,0.715,1.376,0.0
8,1.55,1.37,0.0
9,2.2,1.37,0.0
